,area,category,country,create_date,location,price,state,subarea,text,title,url,pred_bin,pred_class
0,atlanta,cell phones,US,2015-03-20 00:00:00, (smyrna),99.0,GA,all atlanta,"
        We customize your iPhone 5/5s, and make it look like a mini 6, for $100",Make your iPhone 5/5s look like iPhone 6,http://atlanta.craigslist.org/atl/mob/4910933994.html,1,6
1,atlanta,cell phones,US,2015-03-20 00:00:00, (Lavista),480.0,GA,all atlanta,"
        I HAVE A FLIP PHONE SO PLEASE CALL ONLY ",IPHONE 6 16GB BLACK & GREY NEW IN THE BOX SPRINT CLEAN ESN,http://atlanta.craigslist.org/atl/mob/4924087372.html,1,6
2,atlanta,cell phones,US,2015-03-20 00:00:00,,475.0,GA,all atlanta,"
        Silver iPhone 5S 64GB $475. 
 ",iPhone 5S 64GB Factory Unlocked for Sale,http://atlanta.craigslist.org/nat/mod/4907455253.html,1,5s
3,atlanta,cell phones,US,2015-03-20 00:00:00, (snellville),300.0,GA,all atlanta,"
        I phone 5 Tmobile 300 bucks. Perfect condition kept in otter box at all times. Great phone!! Can text images for some reason my phone is not letting me add the images.
    ",T mobile iPhone 5 16gb,http://atlanta.craigslist.org/eat/mob/4940892483.html,1,5
4,atlanta,cell phones,US,2015-03-20 00:00:00, (Kennesaw),450.0,GA,all atlanta,"
        iPhone 5 S good conditions, 32 g AT&T. Call or text ",iPhone 5 S,http://atlanta.craigslist.org/nat/mob/4940974264.html,1,5s
5,atlanta,cell phones,US,2015-03-20 00:00:00, (Duluth),550.0,GA,all atlanta,"
        SG iPhone 6 T-Mobile 16GB $550. 
 ",iPhone 6 16GB T-Mobile for Sale,http://atlanta.craigslist.org/nat/mob/4917650346.html,1,6
6,atlanta,cell phones,US,2015-03-20 00:00:00, (gainesville),175.0,GA,all atlanta,"
        AT&T iphone 5 32g great shape, comes with Otterbox case and belt clip. has been reset so it can be set up right away. Email for fastest response, no phone calls, no shipping",AT&T iphone 5 32g,http://atlanta.craigslist.org/nat/mob/4941005525.html,1,5
7,atlanta,cell phones,US,2015-03-20 00:00:00,,200.0,GA,all atlanta,"
        Used iPhone 5 for sale",iPhone 5 16gb att factory reset,http://atlanta.craigslist.org/nat/mob/4940969016.html,1,5
8,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta- GA),175.0,GA,all atlanta,"
        IPHONE 5 UNLOCKED EXCELLENT CONDITION!",IPHONE 5 WHITE UNLOCKED EXCELLENT CONDITION! - (BROWARD COUNTY),http://atlanta.craigslist.org/atl/mob/4941007420.html,1,5
9,atlanta,cell phones,US,2015-03-20 00:00:00, (Norcross),550.0,GA,all atlanta,"
        I have iphone 6 gold and in good condition has some scratchs ",iPhone 6 Gold Verizon unlocked,http://atlanta.craigslist.org/atl/mob/4940954507.html,1,6
10,atlanta,cell phones,US,2015-03-20 00:00:00,,500.0,GA,all atlanta,"
        64 gbs. Space grey.
    ",AT&T iPhone 6.,http://atlanta.craigslist.org/atl/mob/4925794643.html,1,6
11,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta),130.0,GA,all atlanta,"
        ",iPhone 6 Cracked Screen Fix,http://atlanta.craigslist.org/atl/mod/4940891955.html,-1,-1
12,atlanta,cell phones,US,2015-03-20 00:00:00,,250.0,GA,all atlanta,"
        iPhone 5s Verizon white/silver . Call or text for pictures  at ",iPhone 5s verizon,http://atlanta.craigslist.org/atl/mob/4940563865.html,1,5s
13,atlanta,cell phones,US,2015-03-20 00:00:00, (atlanta),90.0,GA,all atlanta,"
        Have 1 ipnone 6 plus 16gb gray At&t ",Gray iphone 6 plus 16gb,http://atlanta.craigslist.org/atl/mod/4936168615.html,1,6+
14,atlanta,cell phones,US,2015-03-20 00:00:00, (atlanta),80.0,GA,all atlanta,"
        this is a iphone 6 plus 64gb.",Iphone 6 plus 64gb,http://atlanta.craigslist.org/atl/mod/4940501762.html,1,6+
15,atlanta,cell phones,US,2015-03-20 00:00:00, (Kennesaw),250.0,GA,all atlanta,"
        Perfect condition iPhone 5 that has been in a life proof case since day 1. Comes with the original box and a charger. It has been restored to the original factory settings. Ready to go. Let me know any questions or concerns.",AT&T iphone 5 32gb,http://atlanta.craigslist.org/nat/mob/4930103174.html,1,5
16,atlanta,cell phones,US,2015-03-20 00:00:00, (Dunwoody),600.0,GA,all atlanta,"
        Hi,",iPhone 6 AT&T Like New Condition in Box!!!,http://atlanta.craigslist.org/atl/mob/4901973853.html,1,6
17,atlanta,cell phones,US,2015-03-20 00:00:00, (Marietta),300.0,GA,all atlanta,"
        iPhone 5 32GB White Factory Unlocked for sale or trade",iPhone 5 32GB White Factory Unlocked for sale or trade,http://atlanta.craigslist.org/atl/mob/4940575280.html,1,-1
18,atlanta,cell phones,US,2015-03-20 00:00:00, (Marietta),300.0,GA,all atlanta,"
        iPhone 5 32GB White Factory Unlocked for sale or trade",iPhone 5 32GB White Factory Unlocked for sale or trade,http://atlanta.craigslist.org/atl/mob/4940572465.html,1,-1
19,atlanta,cell phones,US,2015-03-20 00:00:00, (Alpharetta),125.0,GA,all atlanta,"
        Mint iPhone 4s",iPhone 4s - 16gb - Verizon,http://atlanta.craigslist.org/atl/mob/4940591714.html,1,4s
20,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta),65.0,GA,all atlanta,"
        VERIZON IPHONE 4 8gb in good condition clean imei Im asking $65 but will take the best offer ! IF YOU HAVE $65 I WILL BRING IT IMMEDIATELY NO WAIT!!  If you want it call if no answer text ",VERIZON IPHONE 4 8gb,http://atlanta.craigslist.org/atl/mob/4930355001.html,1,4
21,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta),65.0,GA,all atlanta,"
        Iphone 4 Sprint 8gb In great condition and the Esn is very Clean. If you want it you can have it. Call now Im asking $65 but will take the best offer. If you come with $65 there is no wait you can get it now. Call now if no answer please leave text ",Iphone 4 Sprint 8gb,http://atlanta.craigslist.org/atl/mob/4930225754.html,1,4s
22,atlanta,cell phones,US,2015-03-20 00:00:00, (Alpharetta Roswell),225.0,GA,all atlanta,"
        iPhone 5C white 16gb",iPhone 5C white 16gb - factory unlocked,http://atlanta.craigslist.org/nat/mob/4940640118.html,1,5c
