category,create_date,title,country,price,area,state,location,subarea,class,bin_class
cell phones,3/17/15 15:11,"iPhone 4S Verizon, Apple warranty",US,125,atlanta,GA,,all atlanta,4s,1
cell phones,3/17/15 15:22,iPhone 5c AT&amp;T open to trading for iPhone 6 plus and cash,US,280,atlanta,GA, (atlanta ga),all atlanta,0,0
cell phones,3/17/15 15:29,iPhone 5c AT&amp;T willing to trade for a iPhone 6 plus and cash,US,280,atlanta,GA, (atlanta ga),all atlanta,0,0
cell phones,3/17/15 15:33,iPhone 6 16GB Space Grey VERIZON (Unlocked) - IN THE BOX!! FLAWLESS!!,US,650,atlanta,GA, (Johns Creek),all atlanta,6,1
cell phones,3/17/15 15:33,iPhone 5S 64GB Gold AT&amp;T - IN THE BOX!! FLAWLESS!!,US,425,atlanta,GA, (Johns Creek),all atlanta,5s,1
cell phones,3/17/15 15:42,Apple iPhone 5S 16GB Gold Good Condition Used T mobile Metro PCS,US,349,atlanta,GA, (Norcross),all atlanta,5s,1
cell phones,3/17/15 15:44,iPhone 5C 8GB Pink GSM Unlocked Used,US,250,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,5c,1
cell phones,3/17/15 15:44,IPhone 5 64gb - Jailbroken,US,350,atlanta,GA, (Atlanta),all atlanta,5,1
cell phones,3/17/15 15:44,iPhone 5s 16gb,US,280,atlanta,GA,,all atlanta,5s,1
cell phones,3/17/15 15:47,~!~ AT&amp;T CLEAN IEMI IPHONE 5 BUNDLE PACK~!~,US,250,atlanta,GA, (BEAVER RUIN/NORCROSS/GWINNETT/ATLANTA WILL MEET),all atlanta,5,1
cell phones,3/17/15 15:51,Selling iPhone 4s White 16GB AT&amp;T,US,140,atlanta,GA, (Alpharetta),all atlanta,4s,1
cell phones,3/17/15 10:54,New Iphone 6 Plus 16GB T-mobile Metro PCS Silver Clean IMEI,US,649,atlanta,GA, (Norcross Retail Store),all atlanta,6+,1
cell phones,3/17/15 11:02,APPLE IPHONE 5 GLASS LCD REPLACEMENT,US,65,atlanta,GA, (SUWANEE),all atlanta,0,0
cell phones,3/17/15 11:03,APPLE IPHONE 5 GLASS LCD REPLACEMENT,US,65,atlanta,GA, (DULUTH),all atlanta,0,0
cell phones,3/17/15 11:05,Iphone 5c pink 16 gb unlocked unused,US,250,atlanta,GA, (Camp Creek &amp; Fulton Indus Blvd or Ex 9 GA 400),all atlanta,5c,1
cell phones,3/17/15 11:08,iphone 5 5S 5C glass lcd replacement,US,65,atlanta,GA, (SUWANEE),all atlanta,0,0
cell phones,3/17/15 11:12,iphone 5 5S 5C glass lcd replacement,US,65,atlanta,GA, (LAWRENCEVILLE),all atlanta,0,0
cell phones,3/17/15 11:15,iphone 5 5S 5C glass lcd replacement,US,65,atlanta,GA, (LAWRENCEVILLE),all atlanta,0,0
cell phones,3/17/15 11:16,SPRINT IPHONE 5C * BOOST MOBILE / METRO PCS,US,130,atlanta,GA, (Midtown),all atlanta,5c,1
cell phones,3/17/15 11:22,iPhone 5 16gb AT&amp;T - PERFECT,US,250,atlanta,GA, (Dahlonega),all atlanta,5,1
cell phones,3/17/15 11:22,iphone 5 5S 5C glass lcd replacement,US,65,atlanta,GA, (LAWRENCEVILLE),all atlanta,0,0
cell phones,3/16/15 18:37,iPhone 5s 16GB White and Gold (TMobile),US,350,atlanta,GA, (Marietta),all atlanta,5s,1
cell phones,3/16/15 18:37,"iPhone 5s - Like New, Sprint, Gold, 16GB",US,250,atlanta,GA, (Atlanta),all atlanta,5s,1
